1,,,,,,,,2,,,,,,,,
0,,,,,,,,0,,,,,,,,
1,,,,,,,,2,,,,,,,,
0,,,,,,,,0,,,,0,,,,
0,,,,0,,,,1,,,,1,,,,
2,,,,2,,,,0,,,,0,,,,
0,,,,12,,,,0,,,,12,,,,
0,,1,,2,,,,2,,0,,0,1,2,0,

0,,,,1,,,,12,,,,0,,0,,
0,,,,2,,,,12,,,,0,,0,,
0,,,,1,,,,12,,,,0,,0,,
0,,,,2,,,,12,,,,0,1,2,0,

0,,,,,,,,,,1,,2,,,,
0,,,,2,,,,1,,,,0,,1,,
,,,,,,,,,,1,,2,,0,,
,,,,,,,,,,,,,,0,,
1,,2,,0,,2,,,,,,1,,2,,
,,0,,2,,1,,,,,,0,,1,,
2,,,,0,,2,,,,1,,,,0,,
1,,2,,,,,,,,,,,,,,

0,,0,,0,,0,,0,,,2,,,1,,
0,,,,,,,,0,,0,,0,,0,,
0,,,,0,,2,,0,,2,,,,2,,
0,,2,,,,,,0,,,,,,,,
0,,0,,0,,0,,0,,,1,,,2,,
0,,,,,,,,0,,0,,0,,0,,
0,,,,0,,1,,0,,1,,,,2,,
0,,2,,1,,0,,0,,,,,,0,1,

2,,2,,1,,0,,,,,,,,0,1,
20,,,,10,,,,12,,,,02,,,,
01,,,,,,010,,,,,,020,,,,
0120,,0,,0,0,,,0,1,2,0,0,1,2,0,

0,,,2,,,1,,0,,,1,,,2,,
0,,,2,,,1,,0,,,1,,,2,,
0,,2,1,,,1,,0,,1,2,,,2,,
0,,2,1,,,1,,0,,1,2,,,2,,
0,,2,1,,2,1,,0,,1,2,,1,2,,
0,,2,1,,2,1,,0,,1,2,,1,2,,
0,,2,1,0,1,2,,0,,1,2,0,2,1,,
0,,2,1,0,1,2,,0,,1,2,0,2,1,,

0,,,,1,,,,12,,,,0,,0,,
0,,,,2,,,,12,,,,0,,0,,
0,,,,,,,,,,,,,,,,
,,,0120,,,,,,,,,,,,,
